price,room,bathroom,surface,link,property_type,city,zone
2840000.0,,,,https://immoneuf.avito.ma/fr/unite/4jD?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
860000.0,1.0,1.0,,https://www.avito.ma/fr/hivernage/appartements/Studio_%C3%A0_vendre_%C3%A0_Hivernage_Marrakech_56203269.htm,Appartements , Marrakech,Hivernage
2975000.0,3.0,3.0,250.0,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Magnifique_appartement_%C3%A0_vendre_sur_Casablanca_56717080.htm,Appartements , Casablanca,Quartier des Hôpitaux
800000.0,2.0,1.0,100.0,https://www.avito.ma/fr/club_onicl/appartements/Appartement_100_m2_%C3%A0_vendre_%C3%A0_Ifrane_56271395.htm,Appartements , Ifrane,Club onicl
3584000.0,,,256.0,https://www.avito.ma/fr/harhoura/villas_et_riads/Terrain_Titr%C3%A9_Zone_Villa_%C3%A0_vendre_%C3%A0_Harhoura_56130835.htm,Villas et Riads , Temara,Harhoura
390000.0,,,,https://immoneuf.avito.ma/fr/unite/4jp?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
3600000.0,4.0,2.0,189.0,https://www.avito.ma/fr/agdal/appartements/RBA_AG_1102___Appartement_%C3%A0_vendre_%C3%A0_Agdal_56045826.htm,Appartements , Rabat,Agdal
4700000.0,4.0,3.0,375.0,https://www.avito.ma/fr/temara_plage/villas_et_riads/Jolie_villa_avec_piscine_%C3%A0_vendre__Skhirat_56301469.htm,Villas et Riads , Temara,Temara Plage
4490000.0,3.0,3.0,320.0,https://www.avito.ma/fr/bouskoura_centre/villas_et_riads/Splendide_villa_en_face_de_motors_village__56524652.htm,Villas et Riads , Bouskoura,Bouskoura centre
9700000.0,2.0,2.0,108.0,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_108_m%C2%B2_%C3%A0_Casablanca_56569096.htm,Appartements , Casablanca,Ain Sebaa
5800000.0,7.0,5.0,388.0,https://www.avito.ma/fr/nouaceur/villas_et_riads/Vendre_villa__56786279.htm,Villas et Riads , Nouaceur,Toute la ville
2180000.0,3.0,2.0,146.0,https://www.avito.ma/fr/oasis/appartements/Appartement_%C3%A0_vendre_133_m%C2%B2_%C3%A0_Casablanca_54684807.htm,Appartements , Casablanca,Oasis
690000.0,2.0,2.0,87.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_a_vendre_56226449.htm,Appartements , El Jadida,Autre secteur
2750000.0,4.0,3.0,417.0,https://www.avito.ma/fr/la_nouvelle_ville_ibn_battouta/villas_et_riads/villa_semi_fini_a_la_nouvelle_ville_ibn_batouta__56790923.htm,Villas et Riads , Tanger,la Nouvelle Ville Ibn Battouta
900000.0,,,,https://immoneuf.avito.ma/fr/unite/gjA?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1197500.0,,,,https://immoneuf.avito.ma/fr/unite/jT8?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
920000.0,1.0,0.0,,https://www.avito.ma/fr/autre_secteur/appartements/Studio_64_m%C2%B2_%C3%A0_Prestigia_Plage_des_Nations_56783111.htm,Appartements , Rabat,Autre secteur
810000.0,2.0,1.0,133.0,https://www.avito.ma/fr/agdal/appartements/vente_appartement__56672655.htm,Appartements , Fès,Agdal
770000.0,1.0,0.0,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Rabat_56783225.htm,Appartements , Rabat,Autre secteur
1170000.0,5.0,5.0,108.0,https://www.avito.ma/fr/fquih_ben_saleh/maisons/%D8%AF%D8%A7%D8%B1_%D9%84%D9%84%D8%A8%D9%8A%D8%B9__56764720.htm,Maisons , Fquih Ben Saleh,Toute la ville
15500000.0,6.0,4.0,2100.0,https://www.avito.ma/fr/souissi/villas_et_riads/Belle_Villa_%C3%A0_Vendre__Souissi_56417108.htm,Villas et Riads , Rabat,Souissi
420000.0,3.0,2.0,90.0,https://www.avito.ma/fr/zouagha/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_F%C3%A8s_56790895.htm,Appartements , Fès,Zouagha
759000.0,,,,https://immoneuf.avito.ma/fr/unite/U4t?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1600000.0,2.0,1.0,74.0,https://www.avito.ma/fr/achennad/maisons/%D8%AF%D8%A7%D8%B1_%D9%84%D9%84%D8%A8%D9%8A%D8%B9__56729005.htm,Maisons , Tanger,Achennad
2800000.0,3.0,2.0,,https://www.avito.ma/fr/agdal/appartements/Appartement_a_vendre_situ%C3%A9_a_Agdal_56679835.htm,Appartements , Rabat,Agdal
8700000.0,5.0,3.0,550.0,https://www.avito.ma/fr/el_menzeh/villas_et_riads/Villa_%C3%A0_vendre__56746152.htm,Villas et Riads , El Menzeh,Toute la ville
530000.0,,,,https://immoneuf.avito.ma/fr/unite/SXW?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
3750000.0,4.0,4.0,292.0,https://www.avito.ma/fr/maarif/appartements/CMN_MA_1731___Appartement_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_55611370.htm,Appartements , Casablanca,Maarif
6900000.0,4.0,3.0,320.0,https://www.avito.ma/fr/mabella/villas_et_riads/Villa_Neuve_%C3%A0_Vendre__Mabella__56560288.htm,Villas et Riads , Rabat,Mabella
840000.0,2.0,2.0,140.0,https://www.avito.ma/fr/martil/appartements/appartemment_a_vendre_a_100_metres_de_la_plage_56755613.htm,Appartements , Martil,Toute la ville
250000.0,,,,https://immoneuf.avito.ma/fr/unite/CQf?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
480000.0,2.0,2.0,70.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Bouznika_56060026.htm,Appartements , Bouznika,Autre secteur
